entidad,descripcion,titulo,icono,filtro,version_exe,version_zoo,version_cli,formulario,tipo,version,herencia,kontroler,orden,ubicaciondb,usaguid,centraliza,comportamiento,identificador,modulos,formatodescripcion,versionminimaderecepcion,versionminimadeemision
"CONFIRMACIONVALORESENTRANSITO","Confirmar acción para valores en tránsito","Confirmar acción para valores en tránsito","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","VTC","B","","",""
"CONSUMOPRODUCCION","Consumos de producción","Consumos de producción","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"","CSM","B","","",""
"CONTABILIZACION","Contabilización de asientos tipo","Proceso de contabilización","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BT","CAT","B","","",""
"CONTACTO","Contactos","Contactos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","CNT","B","","",""
"CONVENIOMULTILATERAL","Convenio multilateral","Convenio multilateral","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BT","CML","B","","",""
"CORREDOR","Corredores","Corredores","","",7.00,0,0,F,"E",2,"","",1,"",F,F,"BTD","014","B","","",""
"COSTODEINSUMO","Costos de insumos y semielaborados","Costos de insumos","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"BT","026","B","This.cDescripcionComprobante","",""
"COTIZACION","Carga de nueva cotización","Nueva cotización","","",7.00,0,0,T,"E",2,"ent_virtual","",0,"",F,F,"T","NCZ","B","","",""
"COTIZACIONGESTIONDEORDENDEPRODUCCION","Cotización gestión de orden de producción","Cotización gestión de orden de producción","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BTD","CGO","B","","",""
"CRITERIOSVALORES","Criterios de aceptacion valores","Criterios de aceptacion valores","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTWD","CAV","B","","",""
"CTACTE","Cuenta corriente","Cuenta corriente","","",0.00,0,0,F,"E",2,"","",0,"",F,F,"","053","B","","06.0004.11383",""
"CTACTECOMPRA","Cuenta corriente de compra","Cuenta corriente de compra","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","130","B","","",""
"CUENTABANCARIA","Cuenta bancaria","Cuenta bancaria","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"BTD","132","B","","",""
"CUENTACORREO","Cuenta de correo","Cuenta de e-mail","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"D","SMT","B","","",""
"CUPON","Cupones","Cupones","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BCD","CUP","B","","",""
"CUPONESPENDIENTES","Detalle de cupones","Detalle de cupones","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CPN","B","","",""
"CURVADEPRODUCCION","Curva de producción","Curvas de producción","","",7.00,0,0,T,"E",2,"EntidadDeProduccion","FormularioDeProduccion",0,"",F,F,"BTD","CVP","B","","",""
"Clienteecommerce","Clientes ecommerce","Clientes ecommerce","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"D","CEC","B","","",""
"CodigoPostal","Código postal","Códigos postales","","",7.00,0,0,F,"E",2,"","",1,"ORGANIZACION",T,F,"","CP8","B","","",""
"Comprobantesecommerce","Herramienta de generación de comprobantes ecommerce","Herramienta de generación de comprobantes ecommerce","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"D","COE","B","","",""
"Condiciondepago","Condiciones de pago","Condiciones de pago","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BD","CDP","B","","",""
"ConsumoCliente","Consumo de cliente","Consumo de clientes","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BC","CCL","B","This.ObtenerNombre() + " " + transform( This.Numero, "@LZ 99999999" )","",""
"Conversion","Conversión de datos","Conversiones de datos","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"TB","CDE","B","","",""
"ConversionValores","Valores de conversión","Valores de conversión","","",7.00,0,0,T,"E",2,"","",0,"ORGANIZACION",F,F,"TB","VCE","B","","",""
"Cuponeshuerfanos","Cupones huérfanos","Cupones huérfanos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","CPH","B","","",""
"DATOSADICIONALESSIRE","AFIP R.G. 4523/19 - SIRE","AFIP RG 4523/19 - SIRE","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","DSI","B","","",""
"DATOSRETENCIONRECIBIDO","Comprobante de retención recibido","Comprobante de retención recibido","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"","DRR","B","","",""
"DATOSTAREAPROGRAMADAECOMMERCE","Parámetros tarea programada ecommerce","Parámetros tarea programada ecommerce","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","TPE","B","","",""
"DATOSTARJETA","Datos de cobro con tarjeta","Ingrese los datos para el cobro con tarjeta","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"D","DP2","B","","",""
"DATOSTRANSACCIONBANCARIA","Datos de transacción bancaria","Datos de transacción bancaria","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","DTB","B","","",""
"DESCUENTO","Descuentos y recargos","Descuentos y recargos","","",7.00,0,0,T,"E",2,"","",1,"",F,F,"TBD","DES","B","this.codigo","",""
"DESPACHODEIMPORTACION","Despacho de importación","Despacho de importación","","",7.00,0,0,T,"E",2,"","",0,"",T,F,"TXD","DDI","B","","",""
"DESTINODESCARGACHEQUES","Destino de descarga de cheques","Destino de descarga de cheques","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","DDC","B","","",""
"DEUDADECHEQUES","Deuda de cheques","Deuda de cheques","","",7.00,0,0,F,"E",2,"","",0,"",F,F,"","DCH","B","","",""
"DIRECCIONENTREGAENCOMPROBANTE","Establecer domicilio de entrega","Establecer domicilio de entrega","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","DIE","B","","",""
"DISCOVER","Discover","Discover","","",7.00,0,0,F,"E",2,"","",0,"ORGANIZACION",F,F,"","DSC","","","",""
"DISTRIBUCIONCENTRODECOSTO","Distribución por centro de costos","Distribución por centro de costos","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"BT","DCC","B","","",""
"DOCUMENTOPROPIO","Documentos propios","Documentos propios","","",7.00,0,0,F,"E",2,"","",1,"",F,F,"BT","017","B","","",""
"DatosAdicionalesComprobantesA","AFIP R.G. 4520/19 - Datos adicionales en comprobantes A","AFIP RG 4520/19 - Datos adicionales en comprobantes A","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","DAA","B","","",""
"DatosAdicionalesSIPRIB","IIBB Santa Fe SIPRIB - Datos adicionales","IIBB Santa Fe SIPRIB - Datos adicionales","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"","DAS","B","","",""
"DatosFiscales","Esquema de datos fiscales","Esquema de datos fiscales","","",7.00,0,0,T,"E",2,"","",0,"",F,F,"TB","DFI","B","","",""
"DescargaDecheques","Descarga de cheques de terceros","Descarga de cheques de terceros","","",7.00,0,0,T,"E",2,"","",0,"",T,T,"TXD","DCT","B","","",""
