entidad,descripcion,titulo,tipo,herencia,kontroler,formulario
"ITEMREGCONCILIABLESTOOL","Item de registros conciliables","Item de registros conciliables","I","","",F
"PreparacionDeMercaderia","Preparación de mercadería","Preparación de mercadería","E","EntColoryTalle_ComprobanteDeVentasSinValores","ComprobanteDeVentasSinValores",T
"FACTURAAGRUPADA","Factura","Factura","E","Ent_ComprobanteAgrupado","ComprobanteAgrupado",T
"TIPODECOMPROBANTEDECOMPRA","Tipo de comprobante de compra","Tipo de comprobante","E","","",T
"DEUDADECHEQUES","Deuda de cheques","Deuda de cheques","E","","",F
"CHEQUESDISPONIBLES","Detalle de cheques disponibles","Detalle de cheques","E","","",T
"ITEMCHEQUEDISPONIBLE","Item cheque disponible","","I","","",F
"CODBARRAALTER","Código de barra alternativo","Código de barra alternativo","E","","",T
"ITEMCODBARRAALTER","Item código de barra alternativo","Item código de barra alternativo","I","","",F
"IMPDIRCUE","Imputación de cuentas bancarias","Imputación de cuentas bancarias a cuenta contable","E","ent_ImputacionDirectaBase","",T
"NOTADECREDITOAGRUPADA","Nota de crédito","Nota de crédito","E","Ent_ComprobanteAgrupado","ComprobanteAgrupado",T
"NOTADEDEBITOAGRUPADA","Nota de débito","Nota de débito","E","Ent_ComprobanteAgrupado","ComprobanteAgrupado",T
"ITEMEXCLUIDOOTRAPERCEP","Item percepciones excluidas","Percepciones excluidas","I","","",F
"ITEMTARJETASFISERV","Items de tarjetas para dispositivos FiServ","","I","","",F
"ITEMERRORESECOMMERCE","Items de operaciones con errores","","I","","",F
"ENVIODECUENTACORRIENTEPORMAIL","Envío de cuenta corriente por mail","Envío de cuenta corriente por mail","E","","",T
"DATOSADICIONALESSIRE","AFIP R.G. 4523/19 - SIRE","AFIP RG 4523/19 - SIRE","E","","",T
"INDICESINFLACION","Indices de inflacion","Indices","E","","",T
"ITEMINDICESINFLACION","Item de indices de inflacion","","I","","",F
"HERRAMIENTAAGRUPADORADEPACKS","Agrupar/Desagrupar Pack","Agrupar/Desagrupar Pack","E","","",T
"ITEMAGRUPADORDEPACK","Item Agrupar desagrupar pack","Item Agrupar desagrupar pack","I","AgrupadorDePack","",F
"ITEMCHEQUEPROPIOHIST","Item de historial de interacciones de cheques propios","Item de historial de interacciones de cheques propios","I","","",F
"LINKQRENETIQUETA","Link para impresión de código QR en etiquetas","Link para impresión de código QR en etiquetas","E","","",T
"WEBHOOK","Servicio Webhook","Servicio Webhook","E","","",T
"ITEMWEBHOOK","Item webhook","Item de WebHook","I","","",F
"TIQUETDECAMBIO","Comprobante para cambio","Comprobante para cambio","E","","",F
"ITEMTIQUETDECAMBIO","Item comprobante para cambio","Item comprobante para cambio","I","","",F
"ITEMTERMINALESLAPOS","Items de terminales smart LaPos","","I","","",F
"ITEMTARJETASSMARTLAPOS","Items de tarjetas para dispositivo smart LaPos","","I","","",F
"PERSONALIZACIONDEENTIDADES","Personalización de entidades","Personalización de entidades","E","","",T
"IMPDIRMOT","Imputación de motivo a cuenta contable","Imputacion de motivo a cuenta contable","E","ent_ImputacionDirectaBase","",T
"RENUMERAASIENTOS","Herramienta de renumeración de asientos contables","Herramienta de renumeración de asientos contables","E","","",T
"DIRECCIONENTREGAENCOMPROBANTE","Establecer domicilio de entrega","Establecer domicilio de entrega","E","","",T
"REGISTROLIQUIDACIONCONSIGNACIONES","Registros de liquidación de consignaciones","Registros de liquidación de consignaciones","E","","",F
"ITEMAJUSTOCKENTRANSITO","Items de ajuste de stock en tránsito","Ajuste de stock en tránsito","I","AjusteCombinacion","",F
"ITEMAJAUDIENTRANSITO","Item ajuste de stock por auditoría en tránsito","Ajuste stock por auditoría en tránsito","I","AjusteCombinacion","",F
"FECHACANCELACION","Fecha de cancelación del artículo","Fecha de cancelación del artículo","E","","",T
"ITEMFECHACANCELACION","Item fecha cancelación","","I","","",F
"ITEMPLANESSMARTLAPOS","Items de planes para dispositivo smart LaPos","","I","","",F
"MARCA","Marcas de artículos","Marcas","E","","",T
"ETIQUETASECOMMERCE","Etiquetas ecommerce","Etiquetas ecommerce","E","","",T
"CATEGORIASECOMMERCE","Categorías ecommerce","Categorías ecommerce","E","","",T
"CONFIGURACIONARTICULOECOMMERCE","Categorías, etiquetas y dimensiones ecommerce","Categorías etiquetas y dimensiones ecommerce","E","","",T
"ITEMCATEGORIASECOM","Item de categorías ecommerce","","I","","",F
"ITEMETIQUETASECOM","Item de etiquetas ecommerce","","I","","",F
"ITEMDIMENSIONESECOM","Item de dimensiones ecommerce","","I","","",F
"CATEGORIASGOOGLESHOPPING","Categorías de Google Shoping","Categorías de Google Shoping","E","","",T
"APERTURAAUTOMATICAENTIDADES","Apertura automática de entidades","Apertura automática de entidades","E","","",T
"ITEMAPERAUTOMATICAS","-","-","I","","",T
"OPEECOMENPROCESO","Operaciones eCommerce en proceso","","E","","",F
"CAEA","CAEA","Obtención de CAEA","E","","",T
"CAEAINFORMA","Informar Movimientos CAEA","Información de movimientos CAEA","E","","",T
"ITEMCAEAINFORMA","items Informar Movimientos CAEA","","I","","",F
"VENDEDORENCOMPROBANTE","Vendedor","Vendedor","E","","",T
"CONDICIONDEPAGOENCOMPROBANTE","Condición de pago","Condición de pago","E","","",T
"INVENTARIO","Inventarios de producción","Inventarios de producción","E","EntidadDeProduccion","",T
"INSUMO","Insumos","Insumos","E","EntidadDeProduccion","",T
"MOTIVODESCARTE","Motivos de descarte","Motivos de descarte","E","","",T
"CONSUMOPRODUCCION","Consumos de producción","Consumos de producción","E","","",T
"MAQUINARIA","Maquinarias y mano de obra","Maquinarias y mano de obra","E","","",T
"ITEMMAQUINARIACONSUMO","Item consumos de producción","Item consumos de producción","I","","",F
"CLASIFICACIONPRODUCCION","Clasificación de producción","Clasificación de producción","E","","",T
"RUBROPRODUCCION","Rubro de producción","Rubro de producción","E","","",T
"PROCESOPRODUCCION","Procesos de producción","Procesos de producción","E","","",T
"ITEMPROCESOMAQUINA","Item maquinaria de producción","Item maquinaria de producción","I","","",F
"TIPIFICACIONPRODUCCION1","Tipificación de producción 1","Tipificación de producción 1","E","","",T
"TIPIFICACIONPRODUCCION2","Tipificación de producción 2","Tipificación de producción 2","E","","",T
"CURVADEPRODUCCION","Curva de producción","Curvas de producción","E","EntidadDeProduccion","FormularioDeProduccion",T
"ITEMCURVADEPRODUCCION","Item curva de producción","Item curva de producción","I","BaseProduccion","",F
"TALLER","Talleres de producción","Talleres","E","","",T
"ITEMTALLERPROCESO","Item procesos del taller de producción","Item proceso de producción","I","","",F
"MODELODEPRODUCCION","Modelo de producción","Modelo de producción","E","EntidadDeProduccion","FormularioDeProduccion",T
"ITEMMODELOPROCESO","Item procesos del modelo de producción","Item proceso de producción","I","BaseProduccion","",F
"ITEMMODELOMAQUINA","Item maquinaria del modelo de producción","Item maquinaria del modelo de producción","I","BaseProduccion","",F
"ITEMMODELOINSUMO","Item insumo del modelo de producción","Item insumo del modelo de producción","I","ProduccionColorYTalle","",F
"ITEMMODELOSALIDA","Item salida del modelo de producción","Item salida del modelo de producción","I","ProduccionColorYTalle","",F
"ORDENDEPRODUCCION","Orden de producción","Orden de producción","E","EntidadDeProduccion","FormularioDeProduccion",T
"ITEMORDENCURVA","Item curva de orden de produccón","Item curva orden de produccón","I","BaseProduccion","",F
"ITEMORDENINSUMO","Item insumo orden de produccón","Item insumo orden de produccón","I","BaseProduccion","",F
